permission,module,action,scope,source,inferred
expense_categories.create,expense_categories,store,global,avocatapp/routes/api.php:103-107,yes
expense_categories.update,expense_categories,update,global,avocatapp/routes/api.php:103-107,yes
expense_categories.delete,expense_categories,destroy,global,avocatapp/routes/api.php:103-107,yes
procedures.view,procedures,index/show,global,avocatapp/routes/api.php:103-108,yes
procedures.create,procedures,store,global,avocatapp/routes/api.php:103-108,yes
procedures.update,procedures,update,global,avocatapp/routes/api.php:103-108,yes
procedures.delete,procedures,destroy,global,avocatapp/routes/api.php:103-108,yes
services.view,services,index/show,global,avocatapp/routes/api.php:104-176,yes
services.create,services,store,global,avocatapp/routes/api.php:104-176,yes
services.update,services,update,global,avocatapp/routes/api.php:104-176,yes
services.delete,services,destroy,global,avocatapp/routes/api.php:104-176,yes
legal_documents.view_types,legal_documents,view,global,avocatapp/routes/api.php:84-95,yes
legal_documents.manage_types,legal_documents,create/update/delete,global,avocatapp/routes/api.php:84-95,yes
legal_documents.manage_subtypes,legal_documents,create/update,global,avocatapp/routes/api.php:86-90,yes
legal_documents.upload,legal_documents,upload,global,avocatapp/routes/api.php:94-96,yes
legal_ads.view,legal_ads,index/show,global,avocatapp/routes/api.php:139-149,yes
legal_ads.create,legal_ads,store,global,avocatapp/routes/api.php:143-147,yes
legal_ads.update,legal_ads,update,global,avocatapp/routes/api.php:145-148,yes
legal_ads.delete,legal_ads,destroy,global,avocatapp/routes/api.php:147-148,yes
legal_ad_types.view,legal_ad_types,index,global,avocatapp/routes/api.php:140-144,yes
legal_ad_types.create,legal_ad_types,store,global,avocatapp/routes/api.php:140-144,yes
legal_sessions.view,legal_sessions,index/show,global,avocatapp/routes/api.php:152-163,yes
legal_sessions.create,legal_sessions,store,global,avocatapp/routes/api.php:159-162,yes
legal_sessions.update,legal_sessions,update,global,avocatapp/routes/api.php:160-162,yes
legal_sessions.delete,legal_sessions,destroy,global,avocatapp/routes/api.php:161-162,yes
legal_session_types.view,legal_session_types,index,global,avocatapp/routes/api.php:153-156,yes
case_status.view,case_status,fetch/index,global,avocatapp/routes/api.php:154-167,yes
court_search.view,court_search,search,global,avocatapp/routes/api.php:50-189,yes
procedure_search.view,procedure_search,search,global,avocatapp/routes/api.php:190-191,yes
legal_cases.manage_clients,legal_cases,attach/detach,global,avocatapp/routes/api.php:129-135,yes
legal_cases.manage_courts,legal_cases,attach/detach,global,avocatapp/routes/api.php:135-137,yes
service_procedures.view,service_procedures,index,global,avocatapp/routes/api.php:177-181,yes
service_procedures.create,service_procedures,store,global,avocatapp/routes/api.php:177-181,yes
service_procedures.update,service_procedures,update,global,avocatapp/routes/api.php:178-181,yes
service_procedures.delete,service_procedures,destroy,global,avocatapp/routes/api.php:179-181,yes
notifications.view,notifications,index,global,avocatapp/routes/api.php:199-200,yes
notifications.mark_read,notifications,update,global,avocatapp/routes/api.php:199-201,yes
notifications.create,notifications,store,global,avocatapp/routes/api.php:201-203,yes
events.view,events,index,global,avocatapp/routes/api.php:202-204,yes
events.create,events,store,global,avocatapp/routes/api.php:201-203,yes
users.update_profile,users,update,self?,avocatapp/routes/api.php:60-74;avocatapp/app/Http/Controllers/UserController.php:12-60,yes
users.view_profile,users,view,self?,avocatapp/routes/api.php:66-74;avocatapp/app/Http/Controllers/UserController.php:62-74,yes
auth.register,auth,register,public,avocatapp/routes/api.php:96-99,yes
auth.login,auth,login,public,avocatapp/routes/api.php:96-99,yes
auth.logout,auth,logout,auth,avocatapp/routes/api.php:70-74,yes
auth.password_forgot,auth,forgot,public,avocatapp/routes/api.php:98-99,yes
auth.password_reset,auth,reset,public,avocatapp/routes/api.php:98-99,yes
